site,date,white,black,whiteElo,blackElo,eco,timeControl,result,termination,variant,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16
https://lichess.org/HF73JWBj,2023.02.01,gunn9197,shuahmet,1005,980,C44,300+0,-1,Normal,Antichess,e4,e5,Nf3,Nc6,d4,d6,d5,Nce7,c4,Nf6,Nc3,c6,Bg5,cxd5,cxd5,h6
https://lichess.org/5eUjvqhl,2023.02.01,TxHeriticRM,dawoodmans,1384,1382,D00,300+0,-1,Time forfeit,,d4,d5,Bf4,Nc6,e3,Nf6,Nf3,Bg4,h3,Bh5,Be2,e6,Nbd2,Bd6,Bxd6,Qxd6
https://lichess.org/d8WpMjA5,2023.02.01,abamaths,ramahapula,1871,1896,C00,300+0,-1,Time forfeit,,e4,e6,d4,d6,f4,Nd7,Nf3,b6,Bd3,Bb7,O-O,Ngf6,e5,dxe5,fxe5,Nd5
https://lichess.org/aKFX052C,2023.02.01,harrym6,lucasvflopes,1483,1510,D30,300+0,0,Normal,,d4,d5,Nf3,e6,c4,c5,cxd5,exd5,e3,Nf6,Nc3,Nc6,a3,a6,b4,b6
https://lichess.org/ctS1L3KE,2023.02.01,Tasyra,Anatoly_zharkov_1984,1524,1536,B01,300+0,-1,Normal,,e4,d5,exd5,Qxd5,Nc3,Qd8,Nf3,e6,Bc4,c6,d3,Nd7,O-O,Qc7,h3,Ne5
https://lichess.org/GJ3TMrVU,2023.02.01,Gamesadda,halak2,1808,1870,A40,300+0,1,Normal,,d4,g6,Nf3,Bg7,g3,Nf6,Bg2,d6,O-O,Nbd7,b3,e5,dxe5,Nxe5,Nbd2,O-O
https://lichess.org/U6RdvLCj,2023.02.01,berti123,Rapiteanua,1102,1157,C02,300+0,-1,Normal,,e4,e6,d4,d5,e5,c5,dxc5,Bxc5,Nc3,Nc6,Nf3,f6,Bf4,fxe5,Nxe5,Nf6
https://lichess.org/3gxB4Sj7,2023.02.01,nugusha,barestabares,1346,1345,B06,300+0,0,Normal,,e4,g6,d4,Bg7,Nf3,c6,c4,Qb6,Nc3,d6,b3,Bg4,Be3,Nd7,d5,c5
https://lichess.org/vG9YF85W,2023.02.01,simranjethwani,argenis18,1757,1779,A40,300+0,-1,Normal,,d4,b6,Bg5,Bb7,d5,d6,Nc3,g6,e3,Bg7,Bb5+,Nd7,Bc6,Rb8,Bxb7,Rxb7
https://lichess.org/4wL2dwwt,2023.02.01,antonio177,mhtsm,1676,1713,C00,600+0,1,Normal,,e4,e6,d4,c6,c4,d5,exd5,exd5,c5,Nf6,Bg5,Be7,Bd3,Bg4,Nf3,O-O
https://lichess.org/vnrzgIOh,2023.02.01,dmoneythai,If_u_can,1090,1086,D02,60+0,1,Time forfeit,,d4,d5,Nf3,Nc6,e3,Bg4,Bd3,e6,c3,Nf6,Nbd2,Be7,O-O,O-O,Re1,a6
https://lichess.org/DlfCV2xN,2023.02.01,giuselax,YigitLORD,886,873,D20,60+0,1,Time forfeit,,d4,d5,c4,dxc4,e4,Nc6,Bxc4,Nxd4,Nf3,Nxf3+,Qxf3,Qd1+,Qxd1,b6,O-O,Bb7
https://lichess.org/VOSXlraR,2023.02.01,rnive,sdgmklg,2219,2207,D02,60+0,-1,Time forfeit,,Nf3,d5,d4,g6,Bf4,Bg7,e3,e5,Nbd2,exf4,exf4,Nf6,Bd3,O-O,O-O,Re8
https://lichess.org/uQ5bY5OJ,2023.02.01,pe333,Rmite,1481,1604,B10,60+0,-1,Normal,,e4,c6,Nf3,d5,exd5,cxd5,d4,Nf6,c3,Nc6,Bb5,e6,Bf4,Bd7,Ne5,Qb8
https://lichess.org/xxRh1rjq,2023.02.01,chess_adi,danielalbertolopez,1760,1750,B00,60+0,-1,Time forfeit,,e4,b6,Nf3,Bb7,d3,g6,b3,Bg7,Nc3,Bxc3+,Bd2,Bxa1,Qxa1,f6,Be2,e5
